eventID,sceneID,speakerID,Parker (1),Brett (2),Kane (3),Dallas (4),Ash (5),Ripley (6),Lambert (7)
1,1,1,0,1,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0
3,1,3,1,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,0
5,1,1,0,0,1,0,0,0,0
6,1,2,0,0,1,0,0,0,0
7,1,4,0,1,0,0,0,0,0
8,1,2,0,0,0,1,0,0,0
9,1,5,0,0,0,1,0,0,0
10,1,4,0,0,0,0,1,0,0
11,1,4,1,0,0,0,0,0,0
12,1,1,0,0,0,1,0,0,0
13,2,6,0,0,1,0,0,0,0
14,2,3,0,0,0,0,0,1,0
15,2,5,0,0,0,0,0,1,0
16,2,7,0,0,1,0,1,1,0
17,2,3,0,0,0,0,0,0,1
18,2,6,0,0,1,0,0,0,0
19,2,3,0,0,0,0,0,1,0
20,2,3,0,0,0,0,0,1,0
21,2,6,0,0,1,0,0,0,0
22,2,3,0,0,0,0,0,1,0
23,2,7,0,0,1,0,0,0,0
24,2,3,0,0,0,0,0,0,1
25,2,7,0,0,1,0,0,0,0
26,2,3,0,0,0,0,0,0,1
27,2,6,0,0,0,0,0,0,1
28,2,7,0,0,0,0,0,1,0
29,3,2,1,0,0,0,0,0,0
30,3,1,0,1,0,0,0,0,0
31,4,2,1,0,0,0,0,0,0
32,4,1,0,0,0,0,1,0,0
33,4,5,1,0,0,0,0,0,0
34,4,1,0,0,0,1,0,0,0
35,4,4,1,1,1,0,1,1,1
36,4,1,0,0,0,1,0,0,0
37,4,4,1,0,0,0,0,0,0
38,4,3,0,0,0,1,0,0,0
39,4,4,0,0,1,0,0,0,0
40,4,1,0,0,0,1,0,0,0
41,4,4,1,0,0,0,0,0,0
42,4,6,0,0,0,1,0,0,0
43,4,4,0,0,0,0,0,1,0
44,4,7,0,0,0,1,0,0,0
45,4,4,0,0,0,0,0,0,1
46,4,3,0,0,0,1,0,0,0
47,4,4,0,0,1,0,0,0,0
48,4,6,0,0,0,1,0,0,0
49,4,4,0,0,0,0,0,1,0
50,4,1,0,0,0,1,0,0,0
51,4,3,1,0,0,0,0,0,0
52,4,1,0,1,1,1,1,1,1
53,4,2,1,0,0,0,0,0,0
54,4,1,0,1,1,1,1,1,1
55,4,5,1,1,1,1,0,1,1
56,4,1,0,0,0,0,1,0,0
57,4,4,1,0,0,0,0,0,0
58,4,5,1,0,0,0,0,0,0
59,4,4,1,0,0,0,0,0,0
