event,scene,SpeakerID,Claire (1),Brian (2),Andrew (3),Bender (4),Vernon (5),Allison (6),Carl (7)
1,6,5,1,1,1,1,0,1,0
2,6,1,0,0,0,0,1,0,0
3,6,5,1,1,1,1,0,1,0
4,6,4,0,0,0,0,1,0,0
5,6,5,1,1,1,1,0,1,0
6,6,5,0,0,0,1,0,0,0
7,6,4,0,0,0,0,1,0,0
8,6,5,0,0,0,1,0,0,0
9,6,2,0,0,0,0,1,0,0
10,6,5,0,1,0,0,0,0,0
11,6,2,0,0,0,0,1,0,0
12,6,5,1,1,1,1,0,1,0
13,6,4,0,0,0,0,1,0,0
14,6,5,0,0,0,1,0,0,0
15,6,4,1,1,1,0,0,1,0
16,6,4,0,0,0,0,0,1,0
17,6,4,0,0,0,0,0,1,0
18,6,2,0,0,0,1,0,0,0
19,6,4,1,1,1,0,0,1,0
20,6,1,0,0,0,1,0,0,0
21,6,4,1,1,1,0,0,1,0
22,6,1,0,0,0,1,0,0,0
23,6,3,0,0,0,1,0,0,0
24,6,4,0,0,1,0,0,0,0
25,6,3,0,0,0,1,0,0,0
26,6,4,0,0,1,0,0,0,0
27,6,4,0,1,0,0,0,0,0
28,6,3,0,0,0,1,0,0,0
29,6,4,0,0,1,0,0,0,0
30,6,3,0,0,0,1,0,0,0
31,6,4,0,0,1,0,0,0,0
32,6,3,0,0,0,1,0,0,0
33,6,1,0,0,0,1,0,0,0
34,6,3,0,0,0,1,0,0,0
35,6,3,1,0,0,0,0,0,0
36,6,4,0,0,1,0,0,0,0
37,6,2,0,0,1,1,0,0,0
38,6,3,0,0,0,1,0,0,0
39,6,4,0,0,1,0,0,0,0
40,6,1,0,0,1,0,0,0,0
41,6,4,1,0,0,0,0,0,0
42,6,4,1,0,1,0,0,0,0
43,6,1,0,0,0,1,0,0,0
44,6,3,0,0,0,1,0,0,0
45,8,4,1,1,1,0,0,1,0
46,8,2,0,0,0,1,0,0,0
47,8,4,0,1,0,0,0,0,0
48,8,3,0,0,0,1,0,0,0
49,8,4,0,0,1,0,0,0,0
50,8,3,0,0,0,1,0,0,0
51,8,1,0,0,0,1,0,0,0
52,8,3,0,0,0,1,0,0,0
53,8,4,0,0,1,0,0,0,0
54,8,4,1,0,0,0,0,0,0
55,8,3,0,0,0,1,0,0,0
56,8,4,0,0,1,0,0,0,0
57,8,1,0,0,0,1,0,0,0
58,8,4,1,0,0,0,0,0,0
59,8,1,0,0,0,1,0,0,0
60,8,1,0,0,0,1,0,0,0
61,8,4,1,0,0,0,0,0,0
62,8,1,0,0,0,1,0,0,0
63,8,4,1,0,0,0,0,0,0
64,8,3,0,0,0,1,0,0,0
65,8,4,1,0,0,0,0,0,0
66,8,4,0,1,0,0,0,0,0
67,8,2,0,0,0,1,0,0,0
68,8,4,1,0,0,0,0,0,0
69,8,1,0,0,0,1,0,0,0
70,8,4,1,0,0,0,0,0,0
71,8,1,0,0,0,1,0,0,0
72,8,4,1,0,0,0,0,0,0
73,8,4,0,1,0,0,0,0,0
74,8,2,0,0,0,1,0,0,0
75,8,4,0,1,0,0,0,0,0
