"char_ID","char_name","char_female"
1,"Katniss Everdeen",1
2,"Plutarch Heavensbee",0
3,"Prim Everdeen",1
4,"Peeta Mellark",0
5,"Haymitch Abernathy",0
6,"President Coin",1
7,"Gale Hawthorne",0
8,"Beetee",0
9,"Corporal Homes",0
10,"Commander Lyme",1
11,"Commander Paylor",1
12,"Boggs",0
13,"President Snow",0
14,"Antonius",0
15,"Johanna Mason",1
16,"Lieutenant Jackson",1
17,"Finnick Odair",0
18,"Cressida",1
19,"Castor",0
20,"Egeria",1
21,"Tigris",1
22,"Effie Trinket",1
23,"Annie Cresta",1
24,"Enobaria",1
