eventID,sceneID,speakerID,Bruce Banner (1),Kathleen Sparr (2),General Ross (3),Joe Greller (4),Emil Blonsky (5),Martina (6),Stanley (7),Betty Ross (8),Leonard Samson (9),Samuel Sterns (10),Tony Stark (11)
1,1,1,0,0,0,0,0,1,0,0,0,0,0
2,2,2,0,0,1,0,0,0,0,0,0,0,0
3,2,3,0,1,0,0,0,0,0,0,0,0,0
4,2,2,0,0,1,0,0,0,0,0,0,0,0
5,2,3,0,1,0,0,0,0,0,0,0,0,0
6,3,4,0,0,1,0,0,0,0,0,0,0,0
7,3,3,0,0,0,1,0,0,0,0,0,0,0
8,3,4,0,0,1,0,0,0,0,0,0,0,0
9,4,2,0,0,0,0,1,0,0,0,0,0,0
10,4,5,0,1,0,0,0,0,0,0,0,0,0
11,4,3,0,0,0,0,1,0,0,0,0,0,0
12,5,3,0,0,0,0,1,0,0,0,0,0,0
13,5,3,0,0,0,0,1,0,0,0,0,0,0
14,5,5,0,0,1,0,0,0,0,0,0,0,0
15,5,6,1,0,0,0,0,0,0,0,0,0,0
16,5,3,0,0,0,0,1,0,0,0,0,0,0
17,5,5,0,0,1,0,0,0,0,0,0,0,0
18,5,1,0,0,0,0,0,1,0,0,0,0,0
19,5,3,0,0,0,0,1,0,0,0,0,0,0
20,5,3,0,0,0,0,1,0,0,0,0,0,0
21,5,5,0,0,1,0,0,0,0,0,0,0,0
22,6,5,0,1,1,0,0,0,0,0,0,0,0
23,6,5,0,0,1,0,0,0,0,0,0,0,0
24,6,3,0,0,0,0,1,0,0,0,0,0,0
25,6,5,0,0,1,0,0,0,0,0,0,0,0
26,6,3,0,0,0,0,1,0,0,0,0,0,0
27,6,5,0,0,1,0,0,0,0,0,0,0,0
28,6,3,0,0,0,0,1,0,0,0,0,0,0
29,6,3,0,0,0,0,1,0,0,0,0,0,0
30,6,5,0,0,1,0,0,0,0,0,0,0,0
31,6,3,0,0,0,0,1,0,0,0,0,0,0
32,7,5,0,0,1,0,0,0,0,0,0,0,0
33,8,3,0,0,0,0,1,0,0,0,0,0,0
34,8,3,0,0,0,0,1,0,0,0,0,0,0
35,8,5,0,0,1,0,0,0,0,0,0,0,0
36,8,3,0,0,0,0,1,0,0,0,0,0,0
