eventID,sceneID,speakerID,Anton Vanko (1),Ivan Vanko (2),Tony Stark (3),Happy Hogan (4),Senator Stern (5),Justin Hammer (6),James Rhodes (7),JARVIS (8),Pepper Potts (9),Natasha Romanoff (10),Elon Musk (11),Christine Everhart (12),Major Allen (13),Nick Fury (14),Jack (15),General Meade (16),Phil Coulson (17),Howard Stark (18),Bambi Arbogast (19)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
