event,scene,speakerID,Jane Foster (1),Darcy Lewis (2),Erik Selvig (3),Thor (4),Odin (5),Loki (6),Volstagg (7),Fandral (8),Hogun (9),Sif (10),Heimdall (11),King Laufey (12),Phil Coulson (13),Frigga (14),Jasper Sitwell (15),Clint Barton (16),Agent Garrett (17),Agent Jackson (18),Nick Fury (19)
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
56,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
67,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,5,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
75,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,6,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,6,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6,11,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
87,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,6,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,7,9,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
92,7,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
93,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,7,12,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
96,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,7,7,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
110,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7,7,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
113,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,8,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
127,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
