eventID,sceneID,speakerID,Nick Fury (1),Phil Coulson (2),Maria Hill (3),Erik Selvig (4),Clint Barton (5),Loki (6),Luchkov (7),Natasha Romanoff (8),Bruce Banner (9),Steve Rogers (10),Tony Stark (11),Pepper Potts (12),JARVIS (13),The Other (14),Jasper Sitwell (15),Thor (16)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
