eventID,sceneID,speakerID,Happy Hogan (1),Tony Stark (2),Maya Hansen (3),Ho Yinsen (4),Aldrich Killian (5),JARVIS (6),James Rhodes (7),Pepper Potts (8),Savin (9),Taggart (10),Harley Keener (11),Brandt (12),Mrs. Davis (13),Gary (14),Trevor Slattery (15),VP Rodriguez (16),President Ellis (17),Bruce Banner (18)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
