"char_ID","char_name","char_female"
1,"Steve Rogers",0
2,"Sam Wilson",0
3,"Natasha Romanoff",1
4,"Brock Rumlow",0
5,"Jack Rollins",0
6,"Georges Batroc",0
7,"Nick Fury",0
8,"Peggy Carter",1
9,"Councilman Rockwell",0
10,"Councilman Singh",0
11,"Councilwoman Hawley",1
12,"Councilman Yen",0
13,"Alexander Pierce",0
14,"Maria Hill",1
15,"Sharon Carter",1
16,"Jasper Sitwell",0
17,"Arnim Zola",0
18,"Renata",1
19,"Bucky Barnes",0
20,"Senator Stern",0
21,"Cameron Klein",0
22,"Scudder",0
23,"Dr. List",0
24,"Baron Strucker",0
