eventID,sceneID,speakerID,Hank Pym (1),Mitchell Carson (2),Howard Stark (3),Peggy Carter (4),Peachy (5),Scott Lang (6),Luis (7),Dale (8),Dave (9),Kurt (10),Hope Van Dyne (11),Darren Cross (12),Frank (13),Cassie Lang (14),Paxton (15),Maggie Lang (16),Sam Wilson (17)
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
