eventID,sceneID,speakerID,The Ancient One (1),Kaecilius (2),Stephen Strange (3),Billy (4),Christine Palmer (5),Nicodemus West (6),Jonathan Pangborn (7),Mordo (8),Wong (9),Daniel Drumm (10),Dormammu (11),Thor (12)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
3,2,3,0,0,0,1,0,0,0,0,0,0,0,0
4,2,3,0,0,0,1,0,0,0,0,0,0,0,0
5,2,4,0,0,1,0,0,0,0,0,0,0,0,0
6,2,3,0,0,0,1,0,0,0,0,0,0,0,0
7,2,4,0,0,1,0,0,0,0,0,0,0,0,0
8,2,3,0,0,0,1,0,0,0,0,0,0,0,0
9,2,4,0,0,1,0,0,0,0,0,0,0,0,0
10,2,3,0,0,0,1,0,0,0,0,0,0,0,0
11,2,3,0,0,0,1,0,0,0,0,0,0,0,0
12,2,4,0,0,1,0,0,0,0,0,0,0,0,0
13,2,3,0,0,0,1,0,0,0,0,0,0,0,0
14,3,3,0,0,0,0,1,0,0,0,0,0,0,0
15,3,5,0,0,1,0,0,0,0,0,0,0,0,0
16,3,3,0,0,0,0,1,0,0,0,0,0,0,0
17,3,5,0,0,1,0,0,0,0,0,0,0,0,0
18,3,3,0,0,0,0,1,0,0,0,0,0,0,0
19,4,5,0,0,0,0,0,1,0,0,0,0,0,0
20,4,6,0,0,0,0,1,0,0,0,0,0,0,0
21,4,5,0,0,0,0,0,1,0,0,0,0,0,0
22,4,6,0,0,0,0,1,0,0,0,0,0,0,0
23,4,3,0,0,0,0,0,1,0,0,0,0,0,0
24,4,6,0,0,1,0,0,0,0,0,0,0,0,0
25,4,3,0,0,0,0,0,1,0,0,0,0,0,0
26,4,6,0,0,1,0,0,0,0,0,0,0,0,0
27,4,3,0,0,0,0,0,1,0,0,0,0,0,0
28,4,6,0,0,1,0,0,0,0,0,0,0,0,0
29,4,5,0,0,1,0,0,0,0,0,0,0,0,0
30,4,3,0,0,0,0,0,1,0,0,0,0,0,0
31,4,6,0,0,1,0,0,0,0,0,0,0,0,0
32,4,3,0,0,0,0,0,1,0,0,0,0,0,0
33,5,5,0,0,1,0,0,0,0,0,0,0,0,0
34,5,3,0,0,0,0,1,0,0,0,0,0,0,0
35,5,5,0,0,1,0,0,0,0,0,0,0,0,0
36,5,3,0,0,0,0,1,0,0,0,0,0,0,0
37,5,6,0,0,1,0,0,0,0,0,0,0,0,0
38,5,3,0,0,0,0,0,1,0,0,0,0,0,0
39,5,3,0,0,0,0,1,0,0,0,0,0,0,0
40,5,3,0,0,0,0,0,1,0,0,0,0,0,0
41,6,5,0,0,1,0,0,0,0,0,0,0,0,0
42,6,3,0,0,0,0,1,0,0,0,0,0,0,0
43,6,5,0,0,1,0,0,0,0,0,0,0,0,0
44,6,3,0,0,0,0,1,0,0,0,0,0,0,0
45,6,5,0,0,1,0,0,0,0,0,0,0,0,0
46,6,3,0,0,0,0,1,0,0,0,0,0,0,0
47,6,5,0,0,1,0,0,0,0,0,0,0,0,0
48,6,3,0,0,0,0,1,0,0,0,0,0,0,0
49,6,5,0,0,1,0,0,0,0,0,0,0,0,0
50,6,3,0,0,0,0,1,0,0,0,0,0,0,0
51,6,5,0,0,1,0,0,0,0,0,0,0,0,0
52,6,3,0,0,0,0,1,0,0,0,0,0,0,0
53,6,5,0,0,1,0,0,0,0,0,0,0,0,0
54,6,3,0,0,0,0,1,0,0,0,0,0,0,0
55,6,5,0,0,1,0,0,0,0,0,0,0,0,0
56,6,3,0,0,0,0,1,0,0,0,0,0,0,0
57,6,5,0,0,1,0,0,0,0,0,0,0,0,0
