eventID,sceneID,speakerID,Meredith Quill (1),Ego (2),Peter Quill (3),Gamora (4),Drax (5),Rocket Raccoon (6),Groot (7),Ayesha (8),Nebula (9),Tullk (10),Yondu Udonta (11),Stakar Ogord (12),Taserface (13),Kraglin (14),Mantis (15),Gef (16),Martinex (17),Charlie-27 (18),Aleta Ogord (19)
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
