"char_ID","char_name","char_female"
1,"Adrian Toomes",0
2,"Phineas Mason",0
3,"Herman Schultz",0
4,"Jackson Brice",0
5,"Anne Marie Hoag",1
6,"Agent Foster",0
7,"Randy",0
8,"Peter Parker",0
9,"Happy Hogan",0
10,"Tony Stark",0
11,"Flash Thompson",0
12,"Betty Brant",1
13,"Jason Ionello",0
14,"Ned",0
15,"Ms. Warren",1
16,"Michelle",1
17,"Liz",1
18,"Charles",0
19,"Abe",0
20,"Mr. Harrington",0
21,"Cindy",1
22,"Sally",1
23,"Mr. Delmar",0
24,"Gary",0
25,"May Parker",1
26,"Coach Wilson",0
27,"Aaron Davis",0
28,"FRIDAY",1
29,"Seymour",0
30,"Karen",1
31,"Principal Morita",0
32,"Mac Gargan",0
33,"Doris Toomes",1
34,"Pepper Potts",1
