eventID,sceneID,speakerID,Tony Stark (1),Jimmy (2),James Rhodes (3),Obadiah Stane (4),Christine Everhart (5),Happy Hogan (6),JARVIS (7),Pepper Potts (8),General Gabriel (9),Ho Yinsen (10),Abu Bakaar (11),Raza (12),Phil Coulson (13),Ramirez (14),Major Allen (15),William Riva (16),Pratt (17),Nick Fury (18)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
