"char_ID","char_name","char_female"
1,"Tony Stark",0
2,"Steve Rogers",0
3,"JARVIS/Vision",0
4,"Thor",0
5,"Natasha Romanoff",1
6,"Clint Barton",0
7,"Dr. List",0
8,"Baron Strucker",0
9,"Pietro Maximoff",0
10,"Bruce Banner",0
11,"Maria Hill",1
12,"Helen Cho",1
13,"Ultron",0
14,"James Rhodes",0
15,"Sam Wilson",0
16,"Wanda Maximoff",1
17,"Ulysses Klaue",0
18,"Peggy Carter",1
19,"Heimdall",0
20,"Laura Barton",1
21,"Lila Barton",1
22,"Nick Fury",0
23,"Erik Selvig",0
24,"FRIDAY",1
