eventID,sceneID,speakerID,Bryce (1),Lara Croft (2),Hillary (3),Mr. Pimms (4),Manfred Powell (5),Lord Richard Croft (6),Wilson (7),Alex West (8),Julius (9)
1,1,1,0,1,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0
5,1,1,0,1,0,0,0,0,0,0,0
6,1,2,1,0,0,0,0,0,0,0,0
7,1,3,0,1,0,0,0,0,0,0,0
8,2,2,0,0,1,0,0,0,0,0,0
9,2,3,0,1,0,0,0,0,0,0,0
10,2,3,0,1,0,0,0,0,0,0,0
11,2,2,0,0,1,0,0,0,0,0,0
12,3,4,0,0,0,0,1,0,0,0,0
13,3,5,0,0,0,1,0,0,0,0,0
14,4,3,0,1,0,0,0,0,0,0,0
15,4,3,0,1,0,0,0,0,0,0,0
16,4,3,0,1,0,0,0,0,0,0,0
17,4,2,0,0,1,0,0,0,0,0,0
18,4,3,0,1,0,0,0,0,0,0,0
19,4,3,0,1,0,0,0,0,0,0,0
20,4,2,0,0,1,0,0,0,0,0,0
21,4,3,0,1,0,0,0,0,0,0,0
22,4,2,0,0,1,0,0,0,0,0,0
23,5,2,0,0,1,0,0,0,0,0,0
24,5,2,0,0,1,0,0,0,0,0,0
25,5,3,0,1,0,0,0,0,0,0,0
26,5,2,0,0,1,0,0,0,0,0,0
27,6,6,0,1,0,0,0,0,0,0,0
28,6,2,0,0,0,0,0,1,0,0,0
29,6,6,0,1,0,0,0,0,0,0,0
30,6,6,0,1,0,0,0,0,0,0,0
31,7,2,1,0,0,0,0,0,0,0,0
32,7,2,1,0,0,0,0,0,0,0,0
33,7,1,0,1,0,0,0,0,0,0,0
34,7,2,1,0,0,0,0,0,0,0,0
35,7,1,0,1,0,0,0,0,0,0,0
36,7,2,1,0,0,0,0,0,0,0,0
37,7,1,0,1,0,0,0,0,0,0,0
38,7,2,1,0,0,0,0,0,0,0,0
39,7,1,0,1,0,0,0,0,0,0,0
40,8,1,0,1,0,0,0,0,0,0,0
41,8,2,1,0,0,0,0,0,0,0,0
42,8,1,0,1,0,0,0,0,0,0,0
43,8,2,1,0,0,0,0,0,0,0,0
44,8,2,1,0,0,0,0,0,0,0,0
45,8,1,0,1,0,0,0,0,0,0,0
46,8,2,1,0,0,0,0,0,0,0,0
47,8,1,0,1,0,0,0,0,0,0,0
48,9,1,0,1,0,0,0,0,0,0,0
49,9,2,1,0,0,0,0,0,0,0,0
50,9,3,1,0,0,0,0,0,0,0,0
51,9,1,0,0,1,0,0,0,0,0,0
52,9,2,1,0,0,0,0,0,0,0,0
53,9,1,0,1,0,0,0,0,0,0,0
54,9,2,1,0,0,0,0,0,0,0,0
55,9,1,0,1,0,0,0,0,0,0,0
56,10,3,1,0,0,0,0,0,0,0,0
57,10,1,0,0,1,0,0,0,0,0,0
58,10,2,1,0,0,0,0,0,0,0,0
59,10,1,0,1,0,0,0,0,0,0,0
60,10,1,0,1,0,0,0,0,0,0,0
61,10,1,0,1,0,0,0,0,0,0,0
62,10,2,1,0,0,0,0,0,0,0,0
63,11,7,0,1,0,0,0,0,0,0,0
64,11,2,0,0,0,0,0,0,1,0,0
65,11,7,0,1,0,0,0,0,0,0,0
66,11,8,0,1,0,0,0,0,0,0,0
67,11,2,0,0,0,0,0,0,1,0,0
68,11,8,0,1,0,0,0,0,0,0,0
69,11,8,0,1,0,0,0,0,0,0,0
70,11,8,0,1,0,0,0,0,0,0,0
71,11,2,0,0,0,0,0,0,0,1,0
72,11,8,0,1,0,0,0,0,0,0,0
73,11,2,0,0,0,0,0,0,0,1,0
74,11,8,0,1,0,0,0,0,0,0,0
75,11,2,0,0,0,0,0,0,0,1,0
76,11,8,0,1,0,0,0,0,0,0,0
77,11,8,0,1,0,0,0,0,0,0,0
78,11,2,0,0,0,0,0,0,0,1,0
79,11,2,0,0,0,0,0,0,0,1,0
80,11,8,0,1,0,0,0,0,0,0,0
81,11,8,0,1,0,0,0,0,0,0,0
82,12,7,0,1,0,0,0,0,0,0,0
83,12,2,0,0,0,0,0,0,1,0,0
84,12,7,0,1,0,0,0,0,0,0,0
85,12,2,0,0,0,0,0,0,1,0,0
86,12,7,0,1,0,0,0,0,0,0,0
87,12,2,0,0,0,0,0,0,1,0,0
88,12,7,0,1,0,0,0,0,0,0,0
89,12,7,0,1,0,0,0,0,0,0,0
90,12,7,0,1,0,0,0,0,0,0,0
91,12,2,0,0,0,0,0,0,1,0,0
92,12,7,0,1,0,0,0,0,0,0,0
93,13,7,0,1,0,0,0,0,0,0,0
94,13,2,0,0,0,0,0,0,1,0,0
95,13,7,0,1,0,0,0,0,0,0,0
96,13,2,0,0,0,0,0,0,1,0,0
97,13,7,0,1,0,0,0,0,0,0,0
98,14,4,0,1,0,0,0,0,0,0,0
99,14,2,0,0,0,1,0,0,0,0,0
100,14,4,0,1,0,0,0,0,0,0,0
101,14,2,0,0,0,1,0,0,0,0,0
102,14,4,0,1,0,0,0,0,0,0,0
103,14,2,0,0,0,1,0,0,0,0,0
104,14,4,0,1,0,0,0,0,0,0,0
105,14,2,0,0,0,1,0,0,0,0,0
106,14,5,0,1,0,0,0,0,0,0,0
107,14,5,0,1,0,0,0,0,0,0,0
108,14,2,0,0,0,0,1,0,0,0,0
109,14,5,0,1,0,0,0,0,0,0,0
110,14,2,0,0,0,0,1,0,0,0,0
111,14,5,0,1,0,0,0,0,0,0,0
112,14,2,0,0,0,0,1,0,0,0,0
113,14,5,0,1,0,0,0,0,0,0,0
114,14,2,0,0,0,0,1,0,0,0,0
115,14,5,0,1,0,0,0,0,0,0,0
116,14,2,0,0,0,0,1,0,0,0,0
117,14,5,0,1,0,0,0,0,0,0,0
118,14,5,0,1,0,0,0,0,0,0,0
119,14,2,0,0,0,0,1,0,0,0,0
120,14,2,0,0,0,0,1,0,0,0,0
121,14,5,0,1,0,0,0,0,0,0,0
122,14,2,0,0,0,0,1,0,0,0,0
123,14,5,0,1,0,0,0,0,0,0,0
124,14,5,0,1,0,0,0,0,0,0,0
125,14,5,0,1,0,0,0,0,0,0,0
126,14,5,0,1,0,0,0,0,0,0,0
127,15,1,0,1,0,0,0,0,0,0,0
128,15,1,0,1,0,0,0,0,0,0,0
129,15,2,1,0,0,0,0,0,0,0,0
130,15,1,0,1,0,0,0,0,0,0,0
131,15,2,1,0,0,0,0,0,0,0,0
132,16,3,0,1,0,0,0,0,0,0,0
133,16,2,0,0,1,0,0,0,0,0,0
134,16,3,0,1,0,0,0,0,0,0,0
135,16,2,0,0,1,0,0,0,0,0,0
136,16,1,0,1,0,0,0,0,0,0,0
137,16,1,0,1,0,0,0,0,0,0,0
138,16,2,1,0,0,0,0,0,0,0,0
139,16,1,0,1,0,0,0,0,0,0,0
140,16,2,1,0,0,0,0,0,0,0,0
141,16,1,0,1,0,0,0,0,0,0,0
142,16,2,1,0,0,0,0,0,0,0,0
143,16,1,0,1,0,0,0,0,0,0,0
144,16,2,1,0,0,0,0,0,0,0,0
145,16,2,1,0,0,0,0,0,0,0,0
146,16,1,0,1,0,0,0,0,0,0,0
147,16,1,0,1,0,0,0,0,0,0,0
148,16,2,1,0,0,0,0,0,0,0,0
149,16,1,0,1,0,0,0,0,0,0,0
150,16,3,0,1,0,0,0,0,0,0,0
151,16,2,0,0,1,0,0,0,0,0,0
152,16,2,0,0,1,0,0,0,0,0,0
153,16,3,0,1,0,0,0,0,0,0,0
154,17,1,0,1,0,0,0,0,0,0,0
155,17,2,1,0,0,0,0,0,0,0,0
156,17,1,0,1,0,0,0,0,0,0,0
157,17,3,1,0,0,0,0,0,0,0,0
158,17,1,0,0,1,0,0,0,0,0,0
159,17,3,0,1,0,0,0,0,0,0,0
160,17,2,0,0,1,0,0,0,0,0,0
161,17,2,1,0,1,0,0,0,0,0,0
162,17,1,0,1,0,0,0,0,0,0,0
163,17,3,0,1,0,0,0,0,0,0,0
164,18,6,0,1,0,0,0,0,0,0,0
165,19,1,0,1,0,0,0,0,0,0,0
166,19,2,1,0,0,0,0,0,0,0,0
167,19,3,0,1,0,0,0,0,0,0,0
168,19,2,0,0,1,0,0,0,0,0,0
169,20,3,0,1,0,0,0,0,0,0,0
170,20,2,1,0,1,0,0,0,0,0,0
171,21,5,0,0,0,0,0,0,0,1,0
172,22,4,0,0,0,0,1,0,0,1,0
173,22,5,0,0,0,1,0,0,0,0,0
174,22,8,0,0,0,1,1,0,0,0,0
175,22,5,0,0,0,0,0,0,0,1,0
176,22,8,0,0,0,0,1,0,0,0,0
177,23,8,0,0,0,1,1,0,0,0,0
178,23,5,0,0,0,1,0,0,0,1,0
179,23,4,0,0,0,0,0,0,0,1,0
180,23,5,0,0,0,0,0,0,0,1,0
181,23,5,0,0,0,0,0,0,0,1,0
182,23,8,0,0,0,1,1,0,0,0,0
183,23,5,0,0,0,0,0,0,0,1,0
184,23,5,0,0,0,0,0,0,0,1,0
