eventID,sceneID,speakerID,Jimmy Petraki (1),Gus Petraki (2),Nicholas Petraki (3),Lara Croft (4),Hillary (5),Bryce (6),Jonathan Reiss (7),Sean (8),Agent Calloway (9),Agent Stevens (10),Armin Kal (11),Terry Sheridan (12),Shu Mei (13),Chen Lo (14),Xien (15),Kosa (16)
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
